"Gender","Age","Education","Social_media_use","Political Label","CMQ","Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness","CRT","Accuracy_False","Accuracy_True","Sharing_False","Sharing_True","Confidence_False","Confidence_True","Condition"
1,4,2,1,4,1.2,2,3,5,2,3.5,5,1.375,2.69166666666667,1.08333333333333,1.25,3.75,2.55833333333333,"Control"
1,6,5,1,5,3.8,2.5,4.5,4.5,1.5,3,4,3.125,3.73333333333333,2.39166666666667,2.65833333333333,2.90833333333333,2.98333333333333,"Control"
1,6,5,2,2,3,2,4,5,2,3.5,5,2.18333333333333,3.15,1,1,3.33333333333333,2.05,"Control"
2,4,2,5,3,3.8,3.5,4,4.5,4,3,0,3.16666666666667,3.39166666666667,2.775,2.79166666666667,2.25833333333333,2.19166666666667,"Control"
1,3,2,1,2,3.8,1.5,2.5,4,1,4.5,4,2.06666666666667,3.55,1,1,3.275,2.6,"Control"
1,2,2,2,3,4.8,1.5,2,4,4,5,3,3.04166666666667,3.60833333333333,3.10833333333333,2.9,3.01666666666667,3.50833333333333,"Control"
1,2,3,2,1,3,3.5,4,3.5,3.5,4.5,3,2.35,3.775,2.09166666666667,2.54166666666667,3.70833333333333,2.90833333333333,"Control"
2,5,3,2,1,2.6,1,3.5,4,2,5,5,2.33333333333333,3.01666666666667,1.91666666666667,2.14166666666667,2.98333333333333,1.96666666666667,"Control"
2,4,3,1,3,3.6,1.5,3,5,1.5,4.5,1,2.11666666666667,3.29166666666667,1.29166666666667,1.25,4.275,3.80833333333333,"Control"
1,3,3,3,2,4,2,4.5,4.5,1.5,4,6,1.9,2.51666666666667,2.65,2.85,3.36666666666667,2.7,"Control"
2,6,2,2,2,4,1,4,5,2,4.5,7,1.74166666666667,3.55,1,1,3.75833333333333,3.25,"Control"
2,2,3,1,4,3.6,3.5,3.5,2,2.5,2,3,2.99166666666667,3.18333333333333,2.7,3.225,2.775,2.7,"Control"
1,1,3,2,4,3.8,1.5,4,3.5,1.5,3.5,1,2.625,3.41666666666667,2.775,2.90833333333333,3.51666666666667,2.95833333333333,"Control"
2,5,3,1,4,2,2,4,5,2,4,5,1.73333333333333,3.14166666666667,1.26666666666667,1.34166666666667,2.69166666666667,2.43333333333333,"Control"
1,3,3,1,4,4,2,5,5,1.5,3,5,2.84166666666667,3.58333333333333,2.26666666666667,2.15833333333333,3.925,3.45833333333333,"Control"
2,5,3,1,4,2.8,2.5,4.5,5,1,5,6,2.4,3.89166666666667,1.04166666666667,1.04166666666667,3.61666666666667,3.825,"Control"
2,4,2,1,2,1.2,2.5,4,4,3.5,3,6,2.15,3.54166666666667,1,1,3.29166666666667,2.53333333333333,"Control"
1,2,2,5,3,3.6,4,5,5,1,3,1,3.375,3.15,3.375,3.11666666666667,3.575,3.06666666666667,"Control"
1,2,2,2,3,3.8,1,4.5,5,3,5,3,3.4,3.35833333333333,3.36666666666667,2.59166666666667,3.65,3.56666666666667,"Control"
2,2,5,2,4,2.8,2,3,5,2,4.5,6,2.04166666666667,3.15,1.51666666666667,2.28333333333333,4.13333333333333,3.9,"Control"
2,2,3,2,1,3.4,1.5,4.5,4.5,1.5,4,5,2.74166666666667,3.93333333333333,1.625,2.66666666666667,3.2,2.7,"Control"
1,2,3,2,2,4.2,3.5,3,3.5,2.5,1.5,4,2.70833333333333,3.775,1.26666666666667,1.38333333333333,2.81666666666667,2.84166666666667,"Control"
2,6,2,1,1,3.2,2,4.5,5,2,5,3,2.29166666666667,3.36666666666667,1.275,1.36666666666667,3.68333333333333,3.19166666666667,"Control"
2,6,3,1,4,5,3,3.5,5,1,4,2,3.85,3.40833333333333,1,1,3.925,3.24166666666667,"Control"
1,4,3,2,4,3.2,2,3,2.5,3.5,4,6,2.45833333333333,3.48333333333333,1,1,1.35833333333333,1.775,"Control"
1,3,3,2,5,3.2,3,4.5,4.5,3.5,2.5,5,2.675,3.41666666666667,1.2,1.425,2.74166666666667,2.80833333333333,"Control"
2,1,2,3,5,5,3,4.5,4,3.5,3,2,3.65833333333333,3.53333333333333,3.69166666666667,3.58333333333333,4.15,4.06666666666667,"Control"
2,4,4,2,2,3,3,3.5,2,4,3.5,1,2.20833333333333,3.58333333333333,2.28333333333333,2.625,3.49166666666667,2.58333333333333,"Control"
2,5,2,3,2,3.8,1.5,2,4.5,2,4.5,4,2.51666666666667,3.96666666666667,1.13333333333333,1.675,2.93333333333333,3.125,"Control"
1,3,3,3,1,2.6,3,4,4,1.5,5,6,2.05,3.61666666666667,1.04166666666667,1,3.53333333333333,1.71666666666667,"Control"
1,2,4,1,2,2.8,1.5,4,5,2,5,5,2.3,2.91666666666667,1,1,1.925,2.00833333333333,"Control"
1,4,3,1,1,4.2,2.5,3,5,1,4,4,2.39166666666667,2.29166666666667,2.50833333333333,2.775,2.84166666666667,2.675,"Control"
2,4,3,1,4,5,3,4.5,5,1,5,7,4.26666666666667,3.60833333333333,1,1,3.675,2.86666666666667,"Control"
1,2,2,1,2,1.8,3,4,3.5,2,2.5,3,2.09166666666667,3.35833333333333,1,1,3.225,1.9,"Control"
2,2,3,3,1,4.4,3.5,2.5,3,4.5,2.5,5,3.03333333333333,4.125,1.1,1.75,2.69166666666667,2.53333333333333,"Control"
2,4,3,5,2,3.6,2.5,4,4,2.5,5,2,2.19166666666667,3.66666666666667,1.55,2.425,3.64166666666667,3.175,"Control"
2,4,3,1,4,3.4,3.5,2.5,4.5,2.5,2.5,0,2.975,3.20833333333333,3,3,2.825,2.81666666666667,"Control"
1,3,2,2,5,4,4.5,2.5,4,1.5,3,2,2.75833333333333,3.21666666666667,2.13333333333333,2.35833333333333,2.93333333333333,2.73333333333333,"Control"
1,2,2,3,3,3,2.5,2.5,2.5,3.5,3,0,1.96666666666667,2.95833333333333,1.08333333333333,1.26666666666667,3.03333333333333,1.95833333333333,"Control"
2,2,3,3,2,4.6,2,3,4,3.5,3.5,5,2.64166666666667,3.475,2.08333333333333,2.325,2.44166666666667,2.48333333333333,"Control"
2,5,2,1,1,2.8,3,3.5,4.5,4,3,1,2.49166666666667,3.45,1.875,2.18333333333333,1.85833333333333,2.05833333333333,"Control"
2,3,3,3,3,3.8,2,2.5,3,4.5,4.5,2,2.825,3.5,3.21666666666667,3.6,3.09166666666667,3.31666666666667,"Control"
2,5,3,2,2,3.2,2.5,5,4.5,3,5,7,1.88333333333333,3.89166666666667,1,1,3.81666666666667,2.73333333333333,"Control"
1,4,4,2,1,3,3,3,1,3.5,1,7,2.5,3.74166666666667,1.38333333333333,1.26666666666667,3.40833333333333,2.825,"Control"
1,3,3,2,2,1.2,2,4.5,5,3.5,4.5,7,1.85833333333333,4.41666666666667,1.38333333333333,3.20833333333333,3.75833333333333,3.65833333333333,"Control"
1,2,3,5,5,4.4,2.5,3.5,3.5,1.5,3.5,1,3.89166666666667,4.31666666666667,3.56666666666667,3.99166666666667,3.74166666666667,3.83333333333333,"Control"
2,6,2,2,2,3.8,3,2.5,4.5,4.5,4.5,4,2.09166666666667,3.81666666666667,2.00833333333333,3.3,4.26666666666667,3.975,"Control"
2,4,3,1,4,4,2.5,3,4.5,2,5,5,2.84166666666667,3.88333333333333,1.7,2.125,3.44166666666667,2.775,"Control"
2,5,4,3,2,2.8,1.5,4,2,3.5,4,0,2.59166666666667,3.325,1,1.1,2.81666666666667,2.65833333333333,"Control"
2,4,4,5,3,3.2,3,3.5,4,2,4,0,2.3,2.59166666666667,2.14166666666667,1.88333333333333,3.54166666666667,3.725,"Control"
2,5,2,2,3,3.6,2,4,4,2,4,2,2.61666666666667,3.33333333333333,1.99166666666667,1.675,2.55833333333333,2.10833333333333,"Control"
1,3,5,1,5,2.8,2,1.5,4.5,2,3,2,2.38333333333333,3.425,1.08333333333333,1,3.70833333333333,3.13333333333333,"Control"
1,5,2,2,2,4.4,1.5,3.5,3,1.5,4.5,2,1.95,3.24166666666667,1.25,1.43333333333333,3.79166666666667,2.80833333333333,"Control"
1,3,3,2,3,4,1.5,2.5,4.5,2,4.5,6,3.35,3.58333333333333,3,2.95833333333333,3.30833333333333,3.33333333333333,"Control"
1,2,2,1,4,2,2.5,4.5,4,2.5,4,3,1.88333333333333,2.89166666666667,1.48333333333333,1.34166666666667,4.125,3.6,"Control"
1,4,3,2,4,4,3,4,5,1.5,4.5,5,2.375,2.9,2.125,2.19166666666667,3.30833333333333,3.25,"Control"
1,3,3,4,2,4,3.5,3,2,3,3.5,3,2.925,3.25,1.95833333333333,1.64166666666667,2.33333333333333,2.35833333333333,"Control"
1,3,2,2,4,2,2.5,4,4,2,3.5,4,1.90833333333333,3.55833333333333,1.34166666666667,1.60833333333333,3.35,2.725,"Control"
2,4,3,2,5,4.4,3,5,3,5,2.5,2,2.10833333333333,2.125,2.025,2.075,1.98333333333333,2.025,"Control"
2,4,3,3,5,4.8,4.5,4.5,5,5,3.5,1,3.09166666666667,3.25,2.64166666666667,2.13333333333333,2.9,2.70833333333333,"Control"
2,5,3,2,4,4.6,1,5,5,1,5,4,3.93333333333333,3.19166666666667,4.36666666666667,4.28333333333333,4.20833333333333,3.90833333333333,"Control"
2,5,2,1,2,2.2,2,4,4,3,3,2,1.675,2.975,1.38333333333333,1.51666666666667,2.225,2.08333333333333,"Control"
1,2,2,3,2,4,3,3,3,3,3,2,2.08333333333333,3.18333333333333,1,1,3.58333333333333,2.4,"Control"
1,2,3,2,2,4,3,3,4,3,3,1,2.64166666666667,3.25,2.54166666666667,2.54166666666667,2.40833333333333,2.44166666666667,"Control"
1,6,5,3,2,2.4,2,3.5,3.5,2,4.5,7,2.2,3.76666666666667,1.68333333333333,2.01666666666667,3.90833333333333,3.41666666666667,"Control"
1,5,3,1,3,1.6,3,2,4.5,4,2.5,2,2.00833333333333,3.20833333333333,1,1,3.53333333333333,2.75,"Control"
1,3,4,2,2,4,2,4,4,2,4,2,2.73333333333333,3.475,1.34166666666667,1.4,2.85833333333333,2.375,"Control"
2,3,3,3,2,2.8,2.5,4,2.5,4,5,5,2.04166666666667,4.11666666666667,1.30833333333333,1.69166666666667,3.56666666666667,3.41666666666667,"Control"
1,6,5,2,1,1.8,4,4.5,4.5,1.5,3,5,2,4.325,2.09166666666667,3.575,4.7,4.19166666666667,"Control"
2,1,3,3,4,3.8,3,4,4,3,3,4,2.825,3.03333333333333,3.43333333333333,3.36666666666667,3.175,3.225,"Nudge"
1,6,3,1,4,4.2,2.5,4,4.5,2,3.5,4,2.93333333333333,2.99166666666667,2.575,2.63333333333333,3.775,3.375,"Nudge"
1,2,2,1,2,3.8,2.5,3,3,2.5,4,1,2.95833333333333,3.21666666666667,2.19166666666667,1.70833333333333,1.33333333333333,1.84166666666667,"Nudge"
2,4,2,3,4,4.2,3,4.5,4,2,2,0,2.625,3.14166666666667,1.44166666666667,1.525,2.18333333333333,2.09166666666667,"Nudge"
1,5,3,2,1,5,2.5,3,3.5,1,3.5,3,3.48333333333333,3.94166666666667,1,1,4.24166666666667,3.79166666666667,"Nudge"
2,2,3,2,2,3.6,2,3,3,3.5,4,5,2.875,3.10833333333333,1,1.1,2.38333333333333,2.275,"Nudge"
1,5,3,1,1,2.8,2,3.5,4,2.5,4.5,4,2.6,3.90833333333333,3.175,3.675,4.6,4.125,"Nudge"
1,1,2,3,3,3.8,2,3.5,4,2.5,4,2,2.175,3.3,1.91666666666667,3.11666666666667,3.61666666666667,2.95833333333333,"Nudge"
1,4,2,1,2,1.8,3,5,5,1,5,7,2.3,3.625,1,1,3.38333333333333,2.70833333333333,"Nudge"
1,3,4,3,4,4.8,2.5,3,3.5,3,3,4,4.175,4.09166666666667,4.10833333333333,4.16666666666667,4.075,3.94166666666667,"Nudge"
2,3,2,2,3,3.4,1,2.5,3.5,5,5,4,2.675,3.06666666666667,1,1,1.95,1.56666666666667,"Nudge"
1,3,2,3,4,4.4,3,2.5,4,1.5,3,6,2.51666666666667,3.2,1,1,2.48333333333333,1.925,"Nudge"
1,3,3,1,2,2.6,3.5,4,4,3,3,5,1.825,3.2,1,1,2.76666666666667,1.81666666666667,"Nudge"
2,5,2,2,2,4,2.5,3.5,5,3,1.5,2,2.225,3.15833333333333,2.08333333333333,2.69166666666667,3.125,3.05,"Nudge"
1,1,4,2,3,3.8,3.5,3,4,1,3,4,2.58333333333333,2.90833333333333,2.35833333333333,2.44166666666667,3.06666666666667,2.64166666666667,"Nudge"
1,2,4,3,4,4.8,3,4,4,3,3,0,2.80833333333333,3.475,2.75833333333333,1.9,2.45,1.85,"Nudge"
2,4,3,1,4,4,2.5,3.5,3.5,3,2.5,1,2.85,3.56666666666667,1.21666666666667,1.14166666666667,3.41666666666667,2.99166666666667,"Nudge"
1,3,2,5,1,3.6,1.5,2.5,4.5,3.5,4.5,1,2.175,2.73333333333333,1.81666666666667,2.45833333333333,2.325,2.63333333333333,"Nudge"
2,3,2,1,5,3.4,2,1.5,4,3.5,4,3,2.525,3.475,1.225,1.14166666666667,3.55833333333333,3.05833333333333,"Nudge"
2,3,2,2,1,4,1.5,4.5,3.5,2,5,6,2.425,3.41666666666667,1.5,1.80833333333333,2.98333333333333,2.7,"Nudge"
2,1,3,2,3,4.8,2,5,5,3.5,5,4,2.575,2.69166666666667,2.875,2.69166666666667,3.60833333333333,3.25833333333333,"Nudge"
2,4,2,2,3,4,1.5,2,4,4.5,3.5,1,2.55,3.23333333333333,1.49166666666667,1.48333333333333,2.38333333333333,2.2,"Nudge"
1,3,2,2,4,4.6,1.5,4,3.5,3,5,6,3.33333333333333,3.325,2.15833333333333,2.275,3.79166666666667,3.6,"Nudge"
2,5,3,2,3,3.2,3,5,5,4.5,2,5,2.04166666666667,3.24166666666667,1.15,1,1.90833333333333,1.525,"Nudge"
2,5,3,1,4,3,2,4,5,1,4.5,5,2.43333333333333,3.85833333333333,1.84166666666667,2.225,2.775,3.3,"Nudge"
2,2,4,1,4,3.6,3.5,2,4.5,4.5,2,6,2.525,2.35833333333333,1,1.05,2.70833333333333,2.75833333333333,"Nudge"
1,3,3,1,2,2.8,1.5,4,5,1.5,5,4,1.8,3.20833333333333,1,1,3.64166666666667,3.01666666666667,"Nudge"
2,5,2,2,5,4,2.5,5,4,4.5,3.5,1,2.775,3.11666666666667,1,1,2.31666666666667,2.24166666666667,"Nudge"
2,5,2,1,4,4.4,2,4.5,3,2.5,4,1,3.38333333333333,3.075,2.54166666666667,2.06666666666667,2.99166666666667,2.55,"Nudge"
1,6,5,2,2,2.4,3.5,4,4,1.5,3.5,4,2.125,2.99166666666667,1.60833333333333,1.975,3.7,3.075,"Nudge"
1,3,3,2,2,3,1.5,3,3.5,1.5,4.5,6,1.78333333333333,3.26666666666667,1.175,1.25,3.74166666666667,2.4,"Nudge"
1,4,5,2,4,4.8,1.5,3,3.5,3,4,7,2.88333333333333,3.49166666666667,1,1,1.675,1.975,"Nudge"
2,1,3,2,2,4.6,1,3.5,5,4,5,6,2.925,2.65,1.55,1.53333333333333,3.775,3.00833333333333,"Nudge"
2,5,3,1,2,2.4,3,3.5,4.5,4,5,6,1.98333333333333,3.89166666666667,1,1,3.55,2.74166666666667,"Nudge"
2,3,3,2,1,3,2.5,5,5,3,5,7,2.625,3.46666666666667,1,1.05,3,2.325,"Nudge"
2,4,2,1,2,3,1,1.5,3,5,5,7,2.05833333333333,3.575,1,1,1.125,1.15,"Nudge"
1,4,2,2,5,4,2.5,3,5,1.5,2.5,3,3.44166666666667,3.90833333333333,3.25,3.15,3.31666666666667,3.65833333333333,"Nudge"
1,2,3,2,2,4.2,1.5,2.5,5,1,5,5,2.78333333333333,4.04166666666667,1.9,2.625,4.175,3.84166666666667,"Nudge"
2,4,3,2,2,3.2,1.5,2.5,2.5,5,5,3,1.93333333333333,3.40833333333333,1,1,3.53333333333333,3.21666666666667,"Nudge"
2,3,4,2,4,3.2,3,3.5,3,4,4,6,2.33333333333333,3.2,2,2.425,2.81666666666667,2.79166666666667,"Nudge"
2,6,3,1,5,4.4,3,4.5,5,1.5,4,2,2.825,3.425,1,1.09166666666667,2.675,2.76666666666667,"Nudge"
1,3,3,3,2,4.2,2,2,2,4,4,7,2.53333333333333,3.41666666666667,1.7,1.41666666666667,2.5,1.80833333333333,"Nudge"
2,6,3,1,3,3.2,3,3,4.5,2,4,7,2.43333333333333,3.28333333333333,1,1,2.74166666666667,2.29166666666667,"Nudge"
2,4,3,3,3,2.2,2.5,4.5,5,4,5,1,1.63333333333333,3.04166666666667,1.25,1.36666666666667,3.71666666666667,3.08333333333333,"Nudge"
1,6,2,1,4,4.4,2.5,5,5,1,3,0,3.275,3.725,1.35,2.11666666666667,2.55,2.89166666666667,"Nudge"
2,2,3,3,2,4.4,3,3,4.5,4.5,1.5,0,4.025,4.1,4.60833333333333,4.59166666666667,4.29166666666667,4.65,"Nudge"
1,5,3,2,4,4.4,3,4,4,2,4,6,2.69166666666667,3.1,2.70833333333333,2.625,3.36666666666667,3.275,"Nudge"
1,2,3,2,3,4.2,2.5,4.5,4.5,4.5,5,1,3.14166666666667,4.39166666666667,2.025,2.65,2.84166666666667,3.28333333333333,"Nudge"
2,3,4,2,3,3.4,2.5,3.5,4.5,4,3,3,2.00833333333333,2.96666666666667,1.43333333333333,1.85833333333333,2.83333333333333,2.54166666666667,"Nudge"
1,3,4,1,3,1.8,2,3,3,3,4.5,6,2.23333333333333,3.64166666666667,1.18333333333333,1.25,3.01666666666667,2.44166666666667,"Nudge"
1,2,3,3,2,4,1.5,2,2,3.5,4.5,2,2.81666666666667,4.11666666666667,1.8,2.375,3.59166666666667,3.44166666666667,"Nudge"
2,5,3,2,2,2.8,4,4.5,5,3,1.5,2,2.00833333333333,3.13333333333333,1.71666666666667,2.19166666666667,3.00833333333333,2.29166666666667,"Nudge"
1,4,2,1,3,4.8,1.5,2.5,5,2.5,4,5,3.26666666666667,3.39166666666667,2.11666666666667,1.24166666666667,3.81666666666667,3.525,"Nudge"
1,3,2,3,1,4.8,2.5,4,4.5,2,3,5,3.05833333333333,3.075,3.5,3.33333333333333,3.325,3.21666666666667,"Nudge"
2,1,3,3,4,4,3.5,3,4,4,2.5,5,2.35,3.20833333333333,2.35833333333333,2.04166666666667,3.35,3.725,"Nudge"
1,1,2,2,4,3.4,3.5,4,3,3,3.5,5,2.26666666666667,3.21666666666667,2.04166666666667,3,3.16666666666667,3.44166666666667,"Nudge"
2,3,3,1,2,1.6,3,4.5,5,2,4,0,2.675,3.73333333333333,1.84166666666667,2.06666666666667,3.20833333333333,3.1,"Nudge"
1,2,3,2,3,4,3,2.5,1.5,2,3,7,2.25833333333333,2.975,1,1.05,1.925,1.83333333333333,"Nudge"
2,3,2,2,1,3.8,2,3.5,4.5,3.5,2.5,6,2.725,3.71666666666667,1,1,1.46666666666667,1.85,"Nudge"
2,3,2,2,2,3.6,3,4,3.5,3.5,4,3,2.075,2.83333333333333,1,1.225,1.75833333333333,1.33333333333333,"Nudge"
1,3,2,2,4,2,2.5,4,5,1,4.5,4,1.85,3.15833333333333,1,1,3.04166666666667,2.65833333333333,"Nudge"
2,3,3,1,4,4.2,2,3.5,4.5,1.5,4,6,2.15833333333333,3.95833333333333,1,1,3.74166666666667,3.91666666666667,"Nudge"
2,4,3,1,1,3.4,3,3.5,5,3.5,5,4,2.1,3.38333333333333,1.125,1.7,4.08333333333333,2.74166666666667,"Nudge"
1,4,2,2,3,1,1,2.5,4.5,4,5,7,2.23333333333333,2.86666666666667,1,1,1.825,1.56666666666667,"Nudge"
2,2,3,3,2,4,2.5,4,4,3.5,3,6,2.56666666666667,3.26666666666667,2.08333333333333,2.375,2.675,2.83333333333333,"Nudge"
1,5,3,1,3,2.2,1.5,2,5,1,4,7,2.3,4.025,1.16666666666667,1.38333333333333,3.60833333333333,3.41666666666667,"Nudge"
1,5,3,3,1,1.6,1,3,5,1.5,4.5,3,1.86666666666667,2.78333333333333,1,1.16666666666667,4.8,3.25,"Nudge"
1,3,3,4,2,3.8,2,2.5,5,2,4,0,3.275,3.94166666666667,3.08333333333333,3.75833333333333,3.275,3.48333333333333,"Nudge"
1,2,2,2,2,3.6,2.5,3.5,4.5,4.5,3,2,2.38333333333333,3.48333333333333,1.44166666666667,1.46666666666667,3.54166666666667,2.93333333333333,"Nudge"
1,3,3,2,5,4.2,3.5,3,4,2,1.5,0,3.075,3.25833333333333,2.2,1.75833333333333,2.75833333333333,2.6,"Nudge"
1,4,4,1,3,2,3.5,4,3.5,2,3,4,2.29166666666667,3.225,1,1.15,2.85833333333333,1.98333333333333,"Nudge"
1,2,3,2,4,3.4,2.5,3,4,2,3.5,2,2.525,2.925,2.49166666666667,2.50833333333333,2.775,2.9,"Nudge"
2,2,3,3,3,3.2,3,4,4.5,3.5,2,4,2.225,3.175,1.04166666666667,1.23333333333333,1.94166666666667,1.575,"Nudge"
2,5,2,1,3,3.2,2,3.5,4.5,2,3.5,5,2.35,3.31666666666667,1.85,1.825,3.26666666666667,3.21666666666667,"Nudge"
2,2,3,2,2,5,2.5,3,3.5,1.5,3,7,2.95,3.71666666666667,1,1,3.65,3.69166666666667,"Nudge"
1,4,3,2,1,4.6,1,2,4,1,5,6,2.1,3.94166666666667,1.45833333333333,3.23333333333333,3.14166666666667,3.15,"Nudge"
1,2,3,1,3,3.2,2,4.5,4.5,1,4.5,5,2.475,3.525,1,1,3.11666666666667,2.65833333333333,"Nudge"
