,num_users,prebunking_effectiveness,nudge_warning_effectiveness,boosting_effectiveness,num_content,content_weight_complexity,content_weight_emotional,avg_effectiveness_personalized,avg_effectiveness_baseline,avg_difference
0,100,0.5,0.5,0.5,100,0.5,0.5,25.49728752260398,24.824593128390596,0.6726943942133836
1,100,0.5,0.5,0.5,100,0.7,0.3,24.47721179624665,24.33422698838249,0.1429848078641633
2,100,0.5,0.5,0.5,100,0.3,0.7,23.150922567418387,22.987961940808496,0.162960626609891
3,100,0.5,0.5,0.5,100,0.3,0.3,13.58363335047717,13.155037430710326,0.4285959197668436
4,100,0.5,0.5,0.5,100,0.7,0.7,34.97303268568458,34.86906231723958,0.1039703684449975
5,100,0.5,0.5,0.5,200,0.5,0.5,28.07455090829429,27.531933537797848,0.5426173704964441
6,100,0.5,0.5,0.5,200,0.7,0.3,24.881502369952603,25.364492710145797,-0.4829903401931936
7,100,0.5,0.5,0.5,200,0.3,0.7,27.72409740810864,27.52497225305217,0.1991251550564747
8,100,0.5,0.5,0.5,200,0.3,0.3,14.625522340083574,14.717936354869815,-0.0924140147862431
9,100,0.5,0.5,0.5,200,0.7,0.7,32.06316712969732,32.101184383681826,-0.0380172539845062
10,100,0.5,0.5,0.6,100,0.5,0.5,25.660160734787603,24.99681081770634,0.6633499170812627
11,100,0.5,0.5,0.6,100,0.7,0.3,26.401097188454585,25.110653949255035,1.2904432391995506
12,100,0.5,0.5,0.6,100,0.3,0.7,26.67880593720686,25.48695028416929,1.1918556530375746
13,100,0.5,0.5,0.6,100,0.3,0.3,15.523296651837978,14.92624678061344,0.597049871224538
14,100,0.5,0.5,0.6,100,0.7,0.7,38.33433553818401,36.71076368009621,1.6235718580878
15,100,0.5,0.5,0.6,200,0.5,0.5,24.29696702002356,23.200088339222617,1.0968786808009412
16,100,0.5,0.5,0.6,200,0.7,0.3,27.92868518846222,27.088125995399043,0.8405591930631786
17,100,0.5,0.5,0.6,200,0.3,0.7,24.710773680404916,24.072065557965775,0.6387081224391409
18,100,0.5,0.5,0.6,200,0.3,0.3,16.825219175526954,16.754336877448235,0.0708822980787182
19,100,0.5,0.5,0.6,200,0.7,0.7,37.16290212183437,36.937029431895965,0.2258726899383987
20,100,0.5,0.5,0.7,100,0.5,0.5,25.56821402255852,24.615995012186136,0.9522190103723852
21,100,0.5,0.5,0.7,100,0.7,0.3,25.330905525597032,24.861684991946216,0.4692205336508159
22,100,0.5,0.5,0.7,100,0.3,0.7,27.61678543151227,26.97545526524149,0.6413301662707802
23,100,0.5,0.5,0.7,100,0.3,0.3,14.724001219884112,14.388533089356512,0.3354681305275999
24,100,0.5,0.5,0.7,100,0.7,0.7,32.01287093314265,30.833035395066144,1.1798355380765069
25,100,0.5,0.5,0.7,200,0.5,0.5,25.02447092179431,24.001755155770073,1.0227157660242376
26,100,0.5,0.5,0.7,200,0.7,0.3,23.6093984335944,22.782869521746377,0.8265289118480226
27,100,0.5,0.5,0.7,200,0.3,0.7,27.178065519456375,26.21116332533216,0.9669021941242164
28,100,0.5,0.5,0.7,200,0.3,0.3,15.105699759165104,14.212603692801713,0.8930960663633929
29,100,0.5,0.5,0.7,200,0.7,0.7,35.1640096819965,34.22363186155858,0.9403778204379164
30,100,0.5,0.5,0.8,100,0.5,0.5,27.150273607408447,24.59660446190543,2.5536691455030187
31,100,0.5,0.5,0.8,100,0.7,0.3,28.7171909084512,26.31764126380973,2.399549644641475
32,100,0.5,0.5,0.8,100,0.3,0.7,25.725689404934688,23.32365747460087,2.402031930333816
33,100,0.5,0.5,0.8,100,0.3,0.3,15.160649952209395,14.462171899125064,0.6984780530843313
34,100,0.5,0.5,0.8,100,0.7,0.7,37.087590018422375,35.60542622676269,1.482163791659687
35,100,0.5,0.5,0.8,200,0.5,0.5,25.5747952291996,24.21324903003305,1.361546199166547
36,100,0.5,0.5,0.8,200,0.7,0.3,23.96268448900028,22.904483430799218,1.0582010582010604
37,100,0.5,0.5,0.8,200,0.3,0.7,26.372261514576508,24.44022770398482,1.9320338105916868
38,100,0.5,0.5,0.8,200,0.3,0.3,15.69838512513672,15.080743743164128,0.6176413819725912
39,100,0.5,0.5,0.8,200,0.7,0.7,38.178948123699506,35.62818397072541,2.5507641529740965
40,100,0.5,0.6,0.5,100,0.5,0.5,23.55785641142337,22.06166799408351,1.4961884173398552
41,100,0.5,0.6,0.5,100,0.7,0.3,25.217573660480237,23.54513998112614,1.6724336793540964
42,100,0.5,0.6,0.5,100,0.3,0.7,28.640911617565312,27.81406336853808,0.8268482490272326
43,100,0.5,0.6,0.5,100,0.3,0.3,13.323137054974934,12.320503016399014,1.0026340385759198
44,100,0.5,0.6,0.5,100,0.7,0.7,37.13839953195085,33.76454527725411,3.373854254696745
45,100,0.5,0.6,0.5,200,0.5,0.5,23.708737143069325,22.5130890052356,1.1956481378337251
46,100,0.5,0.6,0.5,200,0.7,0.3,28.45641556903952,27.35237531448868,1.1040402545508383
47,100,0.5,0.6,0.5,200,0.3,0.7,25.96380249516781,25.33473906167633,0.6290634334914778
48,100,0.5,0.6,0.5,200,0.3,0.3,15.788198650285516,14.836476899117496,0.9517217511680212
49,100,0.5,0.6,0.5,200,0.7,0.7,37.63153092877562,34.8397299434341,2.791800985341517
50,100,0.5,0.6,0.6,100,0.5,0.5,30.351766174634648,28.684732319894252,1.6670338547403958
51,100,0.5,0.6,0.6,100,0.7,0.3,24.81029608689183,23.30754352030948,1.5027525665823518
52,100,0.5,0.6,0.6,100,0.3,0.7,25.821529745042493,24.376770538243623,1.4447592067988673
