iter	Passed	Remaining
408	5186	7494
409	5199	7481
410	5212	7469
411	5225	7457
412	5238	7445
413	5251	7432
414	5263	7419
415	5275	7406
416	5288	7394
417	5302	7383
418	5314	7368
419	5326	7355
420	5338	7342
421	5352	7330
422	5364	7317
423	5377	7305
424	5388	7290
425	5401	7277
426	5413	7264
427	5426	7251
428	5438	7238
429	5451	7226
430	5462	7212
431	5474	7198
432	5486	7184
433	5499	7172
434	5513	7161
435	5527	7150
436	5540	7137
437	5556	7129
438	5568	7116
439	5580	7102
440	5593	7089
441	5605	7076
442	5618	7064
443	5631	7052
444	5644	7040
445	5657	7026
446	5668	7012
447	5680	6999
448	5693	6987
449	5706	6974
450	5719	6962
451	5731	6948
452	5743	6935
453	5757	6924
454	5770	6911
455	5783	6899
456	5796	6887
457	5808	6873
458	5821	6861
459	5833	6848
460	5846	6835
461	5858	6822
462	5871	6809
463	5882	6795
464	5896	6783
465	5908	6770
466	5920	6757
467	5933	6745
468	5945	6732
469	5957	6718
470	5971	6706
471	5984	6694
472	5996	6680
473	6008	6667
474	6020	6654
475	6033	6642
476	6048	6631
477	6060	6618
478	6072	6604
479	6084	6591
480	6098	6579
481	6111	6567
482	6123	6555
483	6135	6541
484	6148	6529
485	6160	6515
486	6172	6501
487	6186	6490
488	6197	6476
489	6211	6465
490	6224	6452
491	6237	6440
492	6249	6426
493	6262	6414
494	6275	6402
495	6287	6388
496	6299	6375
497	6312	6362
498	6325	6350
499	6337	6337
500	6350	6325
501	6362	6311
502	6375	6299
503	6389	6287
504	6401	6274
505	6413	6261
506	6425	6248
507	6437	6235
508	6450	6222
509	6463	6209
510	6475	6197
511	6489	6185
512	6501	6171
513	6515	6160
514	6528	6148
515	6540	6134
516	6554	6123
517	6570	6113
518	6582	6100
519	6595	6088
520	6608	6075
521	6620	6062
522	6634	6050
523	6646	6037
524	6657	6023
525	6670	6011
526	6683	5998
527	6697	5986
528	6709	5973
529	6721	5960
530	6735	5948
531	6747	5935
532	6760	5922
533	6773	5910
534	6786	5898
535	6799	5885
536	6810	5872
537	6823	5859
538	6835	5846
539	6849	5834
540	6862	5822
541	6875	5809
542	6887	5796
543	6899	5783
544	6911	5770
545	6924	5757
546	6937	5745
547	6948	5731
548	6961	5718
549	6973	5705
550	6984	5691
551	6997	5679
552	7009	5666
553	7022	5653
554	7034	5640
555	7047	5627
556	7059	5614
557	7072	5602
558	7083	5588
559	7095	5574
560	7106	5561
561	7119	5548
562	7131	5535
563	7144	5523
564	7157	5510
565	7169	5497
566	7182	5484
567	7194	5471
568	7204	5457
569	7217	5444
570	7230	5432
571	7242	5419
572	7255	5406
573	7267	5393
574	7280	5381
575	7293	5368
576	7306	5356
577	7319	5344
578	7331	5330
579	7344	5318
580	7357	5305
581	7368	5292
582	7380	5279
583	7393	5266
584	7405	5253
585	7417	5240
586	7430	5228
587	7442	5215
588	7455	5202
589	7467	5189
590	7480	5176
591	7493	5164
592	7505	5151
593	7518	5139
594	7530	5126
595	7544	5114
596	7556	5101
597	7569	5088
598	7582	5076
599	7595	5063
600	7607	5050
601	7620	5038
602	7633	5025
603	7646	5013
604	7658	5000
605	7670	4987
606	7683	4974
607	7696	4962
608	7710	4950
609	7722	4937
610	7734	4924
611	7747	4911
612	7759	4898
613	7772	4886
614	7784	4873
615	7796	4859
616	7808	4847
617	7821	4834
618	7831	4820
619	7846	4809
620	7858	4795
621	7871	4783
622	7883	4770
623	7895	4757
624	7907	4744
625	7919	4731
626	7931	4718
627	7944	4705
628	7956	4692
629	7968	4679
630	7981	4667
631	7994	4655
632	8005	4641
633	8018	4629
634	8031	4616
635	8043	4603
636	8056	4590
637	8068	4577
638	8080	4564
639	8092	4552
640	8104	4538
641	8117	4526
642	8130	4513
643	8142	4501
644	8153	4487
645	8166	4475
646	8179	4462
647	8191	4449
648	8204	4437
649	8217	4424
650	8230	4412
651	8242	4399
652	8255	4386
653	8268	4374
654	8282	4362
655	8294	4349
656	8307	4337
657	8319	4324
658	8331	4311
659	8344	4298
660	8356	4285
661	8368	4272
662	8381	4260
663	8393	4247
664	8406	4234
665	8420	4222
666	8431	4209
667	8444	4196
668	8456	4184
669	8469	4171
670	8482	4158
671	8493	4145
672	8506	4133
673	8519	4120
674	8532	4108
675	8544	4095
676	8557	4082
677	8571	4070
678	8584	4058
679	8596	4045
680	8608	4032
681	8621	4019
682	8634	4007
683	8646	3994
684	8659	3982
685	8671	3969
686	8685	3957
687	8698	3944
688	8710	3931
689	8723	3919
690	8735	3906
691	8748	3893
692	8759	3880
693	8772	3867
694	8784	3854
695	8797	3842
696	8809	3829
697	8822	3817
698	8836	3805
699	8848	3792
700	8860	3779
701	8873	3766
702	8885	3753
703	8897	3740
704	8911	3728
705	8923	3715
706	8936	3703
707	8947	3690
708	8959	3677
709	8974	3665
710	8986	3652
711	9000	3640
712	9012	3627
713	9023	3614
714	9037	3602
715	9050	3589
716	9061	3576
717	9073	3563
718	9086	3551
719	9098	3538
720	9111	3525
721	9124	3513
722	9137	3500
723	9150	3488
724	9163	3475
725	9175	3462
726	9188	3450
727	9200	3437
728	9212	3424
729	9225	3412
730	9237	3399
731	9250	3386
732	9262	3373
733	9274	3361
734	9288	3348
735	9299	3335
736	9312	3323
737	9325	3310
738	9338	3298
739	9351	3285
740	9364	3272
741	9376	3260
742	9389	3247
743	9401	3235
744	9413	3222
745	9424	3208
746	9436	3196
747	9449	3183
748	9461	3170
749	9473	3157
750	9487	3145
751	9500	3132
752	9512	3120
753	9525	3107
754	9538	3095
755	9550	3082
756	9562	3069
757	9574	3056
758	9586	3043
759	9596	3030
760	9609	3017
761	9621	3005
762	9634	2992
763	9646	2979
764	9660	2967
765	9673	2955
766	9686	2942
767	9698	2929
768	9711	2917
769	9723	2904
770	9736	2891
771	9749	2879
772	9762	2866
773	9774	2853
774	9786	2841
775	9798	2828
776	9812	2816
777	9824	2803
778	9838	2791
779	9850	2778
780	9862	2765
781	9875	2753
782	9889	2740
783	9901	2728
784	9914	2715
785	9927	2702
786	9940	2690
787	9952	2677
788	9964	2664
789	9977	2652
790	9989	2639
791	10003	2627
792	10016	2614
793	10031	2602
794	10045	2590
795	10058	2577
796	10072	2565
797	10090	2554
798	10102	2541
799	10115	2528
800	10127	2516
801	10140	2503
802	10153	2490
803	10165	2478
804	10177	2465
805	10190	2452
806	10202	2440
807	10215	2427
808	10225	2414
809	10237	2401
810	10250	2388
811	10263	2376
812	10276	2363
813	10289	2351
814	10301	2338
815	10313	2325
816	10326	2312
817	10338	2300
818	10351	2287
819	10366	2275
820	10378	2262
821	10391	2250
822	10403	2237
823	10419	2225
824	10433	2213
825	10446	2200
