iter	Logloss
0	0.6035040543
1	0.5548329802
2	0.4900178984
3	0.445428532
4	0.4003225881
5	0.3746506689
6	0.3306441115
7	0.3029450982
8	0.2871924674
9	0.2578177785
10	0.2481740748
11	0.2310786877
12	0.2129373724
13	0.2047409538
14	0.1973911731
15	0.1926126417
16	0.1836129583
17	0.1774696007
18	0.1720155903
19	0.1659571076
20	0.1627151248
21	0.1608210678
22	0.1583725865
23	0.1550895905
24	0.1499984861
25	0.1477117327
26	0.1455909636
27	0.144151964
28	0.1419478975
29	0.1395604073
30	0.1378947532
31	0.1366550719
32	0.1357662862
33	0.1347249087
34	0.1331599985
35	0.1321622301
36	0.1316885785
37	0.1307987105
38	0.129503652
39	0.1275590337
40	0.126371803
41	0.1242478461
42	0.1238439424
43	0.1232857554
44	0.1225241166
45	0.1216165158
46	0.1213504264
47	0.1204645165
48	0.1200597668
49	0.1195271139
50	0.1188211513
51	0.1185508522
52	0.1183239926
53	0.1180060175
54	0.1173190765
55	0.1171988613
56	0.1165874931
57	0.116027319
58	0.1157277244
59	0.1147637123
60	0.1145896311
61	0.1143544099
62	0.1137177047
63	0.1135710607
64	0.113474754
65	0.1130286618
66	0.1125670789
67	0.1124132529
68	0.1121660917
69	0.112082983
70	0.1117068094
71	0.1116410245
72	0.1112020897
73	0.1111191668
74	0.1110369628
75	0.110926651
76	0.1107958628
77	0.1106285623
78	0.1105494918
79	0.110257862
80	0.1099171704
81	0.1098695706
82	0.1096134312
83	0.1092737524
84	0.1092242463
85	0.1091639259
86	0.1090641825
87	0.1089902229
88	0.1089393292
89	0.1087921185
90	0.1086324728
91	0.1085150512
92	0.108478862
93	0.1084314193
94	0.1083509993
95	0.1083176965
96	0.1081314068
97	0.1080845982
98	0.1080223032
99	0.1080040872
100	0.1079673133
101	0.1079210078
102	0.1078675795
103	0.1078222916
104	0.1076992882
105	0.1076404146
106	0.1075815297
107	0.1074682775
108	0.1074270308
109	0.1073949924
110	0.1073385184
111	0.1072792189
112	0.1072388228
113	0.1072008497
114	0.1071595996
115	0.107131609
116	0.1070982243
117	0.1070743829
118	0.1070157991
119	0.1069652816
120	0.1068406577
121	0.1068108759
122	0.1067752791
123	0.1067497694
124	0.1066826478
125	0.1066592552
126	0.1065761788
127	0.106539329
128	0.106401123
129	0.1063689906
130	0.1062360625
131	0.1062089049
132	0.106180415
133	0.1061576835
134	0.1061339941
135	0.1061108817
136	0.1059372832
137	0.1059028948
138	0.1058672806
139	0.1057677175
140	0.1057400621
141	0.1057065106
142	0.1056787985
143	0.1056522475
144	0.1056021298
145	0.1055573902
146	0.1055355844
147	0.1054800078
148	0.1053783882
149	0.1052966418
150	0.1052714336
151	0.1050486971
152	0.1050161881
153	0.1049912122
154	0.1049387165
155	0.1048835837
156	0.104859478
157	0.1048376223
158	0.1048003845
159	0.1047228284
160	0.1046818586
161	0.1046624248
162	0.1046270109
163	0.1046056144
164	0.1045655941
165	0.104536733
166	0.104500073
167	0.1044310133
168	0.1043529012
169	0.1043253572
170	0.1042937057
171	0.1042694533
172	0.1042329756
173	0.1041935654
174	0.1041670043
175	0.1041424818
176	0.104097508
177	0.1040758886
178	0.1040586947
179	0.1040445146
180	0.1040223906
181	0.1039955903
182	0.1039628697
183	0.1039469437
184	0.1039251821
185	0.103898295
186	0.1038791237
187	0.1038605789
188	0.1038419086
189	0.1038136422
190	0.1037796477
191	0.1037549631
192	0.1037391294
193	0.1037229234
194	0.1036538986
195	0.103626262
196	0.1036078327
197	0.1035911622
198	0.1035701952
199	0.1035470216
200	0.103521897
201	0.103485126
202	0.1034569469
203	0.1034327751
204	0.1034118507
205	0.1033769703
206	0.1033591822
207	0.1033307061
208	0.1033139659
209	0.103299766
210	0.1032698648
211	0.1032549739
212	0.1032141857
213	0.103200139
